06-07 Harvest 
,Area Name,Date,# of Hunters,# of Ducks,# of Waterfowl,Average Ducks,Average Geese,Average Waterfowl,#1 Duck Harvest,#2 Duck Harvest,#1 Duck Species,#2 Duck Species,
,MENDOTA,11/8,96,191,192,1.99,0.01,2.00,58,35,MALL,SHOV,
,MENDOTA,11/11,403,381,383,0.95,0.005,0.95,119,98,SHOV,MALL,
,MENDOTA,11/12,178,79,84,0.44,,0.47,22,21,MALL,SHOV,
,MERCED,11/8,21,30,30,1.43,,1.43,11,6,MALL,GWTL,
,MERCED,11/11,11,41,41,3.73,,3.73,18,13,MALL,SHOV,
,NORTH FRIETAS,11/8,10,18,18,1.80,,1.80,15,3,MALL,GWTL,
,NORTH FRIETAS,11/11,17,30,30,1.76,,1.76,17,11,MALL,GWTL,
,NORTH FRIETAS,11/12,6,8,9,1.33,0.17,1.50,7,1,MALL,AMWI,
,SOUTH FRIETAS,11/8,5,7,7,1.40,,1.40,4,1,GWTL,MALL,
,SOUTH FRIETAS,11/11,22,18,18,0.82,,0.82,11,5,GWTL,MALL,
,SOUTH FRIETAS,11/12,15,3,3,0.20,,0.20,1,1,MALL,GADW,
,SALT SLOUGH (NO.GL),11/8,24,35,35,1.46,,1.46,28,2,MALL,GWTL,
,SALT SLOUGH (NO.GL),11/11,83,32,32,0.39,,0.39,22,4,MALL,GWTL,
,SALT SLOUGH (NO.GL),11/12,49,12,12,0.24,,0.24,6,3,MALL,GWTL,
,SALTON SEA NWR,11/8,3,0,2,,0.67,0.67,0,0,PNTL,,
,SALTON SEA NWR,11/11,24,22,38,0.92,0.67,1.58,7,7,SHOV,,
,SALTON SEA NWR,11/12,17,5,8,0.29,0.18,0.47,2,1,MALL,PNTL,
,SAN JACINTO,11/8,66,185,187,2.80,,2.83,42,41,SHOV,GWTL,
,SAN JACINTO,11/11,88,167,168,1.90,,1.91,36,35,SHOV,GWTL,
,SAN LUIS,11/8,30,36,36,1.20,,1.20,16,15,GWTL,MALL,
,SAN LUIS,11/11,105,108,118,1.03,0.010,1.12,46,21,GWTL,SHOV,
,SAN LUIS,11/12,69,48,55,0.70,,0.80,16,10,MALL,SHOV,
,SHASTA VALLEY,11/8,19,23,23,1.21,,1.21,8,7,MALL,PNTL,
,SHASTA VALLEY,11/11,14,34,34,2.43,,2.43,11,7,MALL,PNTL,
,SHASTA VALLEY,11/12,44,29,29,0.66,,0.66,15,5,MALL,PNTL,
,SUTTER,11/8,75,116,118,1.55,0.03,1.57,55,13,MALL,SHOV,
,SUTTER,11/11,79,144,146,1.82,0.03,1.85,67,21,MALL,SHOV,
,SUTTER,11/12,68,51,55,0.75,0.06,0.81,15,6,MALL,GADW,
,VOLTA,11/8,22,8,58,0.36,,2.64,4,1,MALL,GADW,
,VOLTA,11/11,47,23,48,0.49,,1.02,14,5,MALL,SHOV,
,VOLTA,11/12,20,5,16,0.25,,0.80,4,1,MALL,GWTL,
,WILLOW CREEK,11/11,5,24,24,4.80,,4.80,15,4,MALL,GADW,
,WILLOW CREEK,11/12,5,11,11,2.20,,2.20,3,3,GADW,AMWI,
,WISTER,11/8,79,128,150,1.62,0.27,1.90,53,25,AMWI,SHOV,
,WISTER,11/11,232,246,315,1.06,0.30,1.36,66,40,AMWI,GWTL,
,WISTER,11/12,97,83,105,0.86,0.22,1.08,25,24,SHOV,AMWI,
,YOLO,11/11,164,75,80,0.46,0.02,0.49,26,10,MALL,PNTL,
,YOLO,11/12,79,38,45,0.48,0.03,0.57,15,5,SHOV,MALL,
,WEST FAMILY JR,11/8,0,0,0,,,,0,0,,,
,WEST FAMILY JR,11/11,8,9,10,1.13,,1.25,8,1,SHOV,GWTL,
,DELEVAN,11/15,135,191,209,1.41,0.13,1.55,46,45,SHOV,AMWI,
,DELEVAN,11/18,176,265,305,1.51,0.23,1.73,54,45,SHOV,AMWI,
,DELEVAN,11/19,69,226,289,3.28,0.83,4.19,76,33,MALL,GWTL,
,BUTTE VALLEY,11/15,24,52,52,2.17,,2.17,20,11,GWTL,SHOV,
,BUTTE VALLEY,11/18,20,51,53,2.55,0.05,2.65,20,9,SHOV,AMWI,
,BUTTE VALLEY,11/19,13,3,3,0.23,,0.23,2,1,SHOV,AMWI,
,FINNEY-RAMER,11/17,5,8,8,1.60,,1.60,5,2,GWTL,SHOV,
,FINNEY-RAMER,11/18,8,10,10,1.25,,1.25,7,3,GWTL,SHOV,
,FINNEY-RAMER,11/19,2,5,5,2.50,,2.50,4,1,GWTL,SHOV,
,COLUSA,11/15,53,83,92,1.57,0.06,1.74,21,14,MALL,SHOV,
,COLUSA,11/18,82,104,109,1.27,0.06,1.33,22,22,MALL,GWTL,
,COLUSA,11/19,65,71,75,1.09,0.06,1.15,14,12,MALL,GWTL,
,GADWALL (NO.GL),11/15,11,17,18,1.55,0.09,1.64,7,4,SHOV,GWTL,
,GADWALL (NO.GL),11/18,30,57,60,1.90,0.03,2.00,34,6,GWTL,CINT,
,GADWALL (NO.GL),11/19,14,46,54,3.29,0.07,3.86,15,10,GWTL,SHOV,
,GRAY LODGE,11/15,121,78,83,0.64,0.04,0.69,25,13,MALL,SHOV,
,GRAY LODGE,11/18,231,181,190,0.78,0.02,0.82,51,40,MALL,AMWI,
,GRAY LODGE,11/19,200,131,142,0.66,0.03,0.71,32,28,WDDU,MALL,
,GRIZZLY ISLAND,11/15,101,60,64,0.59,0.04,0.63,25,8,SHOV,PNTL,
,GRIZZLY ISLAND,11/18,179,60,62,0.34,0.02,0.35,15,14,MALL,SHOV,
,GRIZZLY ISLAND,11/19,108,26,27,0.24,0.009,0.25,7,5,SHOV,MALL,
,HONEY LAKE-DAKIN,11/15,39,63,66,1.62,0.08,1.69,26,16,MALL,AMWI,
,HONEY LAKE-DAKIN,11/18,52,57,63,1.10,0.12,1.21,14,13,MALL,AMWI,
,HONEY LAKE-DAKIN,11/19,39,22,37,0.56,0.08,0.95,4,4,GADW,PNTL,
,HONEY LAKE-FLEMING,11/15,77,43,45,0.56,0.01,0.58,20,19,MALL,SHOV,
,HONEY LAKE-FLEMING,11/18,70,13,14,0.19,,0.20,5,5,GADW,SHOV,
,HONEY LAKE-FLEMING,11/19,43,7,7,0.16,,0.16,3,2,GADW,MALL,
,KERN,11/15,77,283,291,3.68,0.01,3.78,91,67,SHOV,GADW,
,KERN,11/18,81,230,231,2.84,,2.85,67,66,GADW,SHOV,
,KESTERSON,11/15,30,25,31,0.83,,1.03,13,6,SHOV,GWTL,
,KESTERSON,11/18,52,23,30,0.44,,0.58,10,6,GWTL,SHOV,
,KESTERSON,11/19,22,58,58,2.64,,2.64,13,10,RNDU,GWTL,
,LOS BANOS,11/15,57,54,54,0.95,,0.95,13,12,MALL,SHOV,
,LOS BANOS,11/18,90,71,72,0.79,0.01,0.80,18,16,MALL,GWTL,
,LOS BANOS,11/19,56,112,113,2.00,0.02,2.02,27,27,SHOV,RNDU,
,MENDOTA,11/15,97,69,71,0.71,,0.73,23,20,MALL,SHOV,
,MENDOTA,11/18,247,142,148,0.57,0.02,0.60,30,28,MALL,SHOV,
,MENDOTA,11/19,191,156,163,0.82,0.02,0.85,38,34,GWTL,MALL,
,MERCED,11/15,24,32,32,1.33,,1.33,8,6,MALL,GWTL,
,MERCED,11/18,29,62,77,2.14,0.52,2.66,41,8,MALL,GADW,
,NORTH FRIETAS,11/15,1,4,4,4.00,,4.00,3,1,MALL,SHOV,
,NORTH FRIETAS,11/18,10,23,23,2.30,,2.30,21,1,MALL,SHOV,
,NORTH FRIETAS,11/19,0,0,0,,,,0,0,,,
,SOUTH FRIETAS,11/15,4,5,5,1.25,,1.25,4,1,MALL,GWTL,
,SOUTH FRIETAS,11/18,17,10,10,0.59,,0.59,8,1,MALL,GADW,
,SOUTH FRIETAS,11/11,11,7,7,0.64,,0.64,2,2,GWTL,RNDU,
,SALT SLOUGH (NO.GL),11/15,30,23,23,0.77,,0.77,11,9,MALL,GWTL,
,SALT SLOUGH (NO.GL),11/18,30,12,13,0.40,0.03,0.43,7,2,MALL,WDDU,
,SALT SLOUGH (NO.GL),11/19,21,24,25,1.14,,1.19,11,4,MALL,GWTL,
,SALTON SEA NWR,11/15,13,5,6,0.56,0.11,0.67,2,2,GWTL,SHOV,
,SALTON SEA NWR,11/18,13,11,11,0.85,,0.85,3,2,AMWI,GWTL,
,SALTON SEA NWR,11/19,6,0,0,,,,0,0,,,
,SACRAMENTO,11/15,137,167,190,1.22,0.12,1.39,43,25,SHOV,GADW,
,SACRAMENTO,11/18,190,202,224,1.06,0.12,1.18,35,34,SHOV,MALL,
,SACRAMENTO,11/19,100,294,315,2.94,0.21,3.15,66,66,AMWI,GWTL,
,SAN LUIS,11/15,46,23,23,0.50,,0.50,7,6,GWTL,SHOV,
,SAN LUIS,11/18,84,49,49,0.58,,0.58,15,15,MALL,GWTL,
,SAN LUIS,11/19,38,68,68,1.79,,1.79,33,13,GWTL,MALL,
,SHASTA VALLEY,11/15,23,39,40,1.70,0.04,1.74,21,8,GWTL,MALL,
,SHASTA VALLEY,11/18,68,50,50,0.74,,0.74,32,8,GWTL,MALL,
,SHASTA VALLEY,11/19,38,6,6,0.16,,0.16,2,2,PNTL,GWTL,
,SUTTER,11/15,70,63,68,0.90,0.07,0.97,31,8,MALL,GADW,
,SUTTER,11/18,80,157,160,1.96,0.04,2.00,44,39,GWTL,MALL,
,SUTTER,11/19,87,67,80,0.77,0.15,0.92,30,10,MALL,AMWI,
,VOLTA,11/15,20,2,77,0.10,,3.85,1,1,MALL,GADW,
,VOLTA,11/18,14,17,41,1.21,,2.93,12,2,GWTL,SHOV,
,VOLTA,11/19,13,10,32,0.77,,2.46,4,3,SHOV,CINT,
,WILLOW CREEK,11/15,0,0,0,,,,0,0,,,
,WILLOW CREEK,11/18,2,33,3,1.50,,1.50,1,1,MALL,GOLD,
,WILLOW CREEK,11/19,3,3,3,1.00,,1.00,1,1,MALL,GADW,
,WISTER,11/15,103,204,234,1.98,0.26,2.27,77,35,AMWI,GWTL,
,WISTER,11/18,184,221,257,1.20,0.18,1.40,65,49,AMWI,GWTL,
,WISTER,11/19,96,26,47,0.27,0.22,0.49,6,5,SHOV,RUDD,
,YOLO,11/15,91,59,59,0.65,,0.65,23,8,SHOV,PNTL,
,YOLO,11/18,124,111,115,0.90,0.03,0.93,39,15,GWTL,MALL,
,YOLO,11/19,116,48,57,0.41,0.02,0.49,11,8,SHOV,RNDU,
,WEST BEAR CREEK,11/18,39,143,143,3.67,,3.67,86,47,MALL,WDDU,
,WEST BEAR CREEK,11/19,35,85,90,2.43,0.06,2.57,33,29,GWTL,MALL,
,ASH CREEK,11/22,7,4,4,0.57,,0.57,3,1,MALL,PNTL,
,ASH CREEK,11/25,11,16,17,1.45,0.09,1.55,8,3,MALL,GADW,
,ASH CREEK,11/26,5,11,12,2.20,0.20,2.40,5,2,MALL,GWTL,
,BUTTE VALLEY,11/22,23,65,67,2.83,0.09,2.91,20,14,MALL,AMWI,
,BUTTE VALLEY,11/25,13,6,7,0.46,0.08,0.54,2,2,PNTL,SHOV,
,BUTTE VALLEY,11/26,16,27,28,1.69,,1.75,10,17,SHOV,AMWI,
,FINNEY-RAMER,11/22,3,4,4,1.33,,1.33,2,2,GWTL,SHOV,
,FINNEY-RAMER,11/23,2,1,1,0.50,,0.50,1,0,GWTL,,
,FINNEY-RAMER,11/24,4,8,8,2.00,,2.00,4,3,GWTL,SHOV,
,FINNEY-RAMER,11/25,6,11,11,1.83,,1.83,6,3,GWTL,SHOV,
,FINNEY-RAMER,11/26,3,1,1,0.33,,0.33,1,0,SHOV,,
,COLUSA,11/22,69,99,102,1.43,0.04,1.48,21,20,RNDU,MALL,
,COLUSA,11/25,89,137,139,1.54,0.02,1.56,40,21,GADW,MALL,
,COLUSA,11/26,80,96,99,1.20,0.04,1.24,32,18,SHOV,MALL,
,GADWALL (NO.GL),11/22,24,71,71,2.96,,2.96,25,24,GWTL,SHOV,
,GADWALL (NO.GL),11/24,4,10,0,3.68,,3.75,0,0,SHOV,,
,GADWALL (NO.GL),11/25,28,103,105,3.68,0.04,3.75,33,31,GWTL,SHOV,
,GADWALL (NO.GL),11/26,36,55,55,1.53,,1.53,17,17,GWTL,SHOV,
,GRIZZLY ISLAND,11/22,129,56,59,0.43,0.008,0.46,13,12,MALL,AMWI,
,GRIZZLY ISLAND,11/25,157,160,171,1.02,0.006,1.09,73,17,SHOV,GADW,
,GRIZZLY ISLAND,11/26,95,62,85,0.65,,0.89,25,24,SHOV,MALL,
,HONEY LAKE-DAKIN,11/22,52,91,106,1.75,0.29,2.04,28,26,MALL,GADW,
,HONEY LAKE-DAKIN,11/25,30,37,42,1.23,0.17,1.40,16,6,MALL,PNTL,
,HONEY LAKE-DAKIN,11/26,22,73,77,3.32,0.18,3.50,21,18,GADW,MALL,
,HONEY LAKE-FLEMING,11/22,55,85,87,1.55,0.04,1.58,20,19,MALL,GADW,
,HONEY LAKE-FLEMING,11/25,41,,75,1.83,,1.83,33,14,MALL,GADW,
,HONEY LAKE-FLEMING,11/26,38,53,57,1.39,0.11,1.50,26,8,MALL,GADW,
,HOWARD SLOUGH (UBB),11/22,54,55,55,1.02,,1.02,21,11,MALL,WDDU,
,HOWARD SLOUGH (UBB),11/25,66,37,37,0.56,,0.56,14,8,MALL,SHOV,
,HOWARD SLOUGH (UBB),11/26,44,78,89,1.77,0.25,2.02,18,16,GWTL,MALL,
,KESTERSON,11/22,38,104,111,2.74,0.03,2.92,24,21,GWTL,RNDU,
,KESTERSON,11/25,60,70,72,1.17,,1.20,25,21,MALL,GWTL,
,KESTERSON,11/26,42,20,20,0.48,,0.48,5,3,GWTL,GADW,
,LITTLE DRY CR. (UBB),11/22,100,149,150,1.49,0.01,1.50,57,19,MALL,GWTL,
,LITTLE DRY CR. (UBB),11/25,95,188,196,1.98,0.08,2.06,45,35,MALL,GWTL,
,LITTLE DRY CR. (UBB),11/26,97,157,166,1.62,0.09,1.71,36,35,MALL,GWTL,
,LLANO SECO (UBB),11/22,37,60,62,1.62,0.05,1.68,17,15,MALL,AMWI,
,LLANO SECO (UBB),11/25,27,37,38,1.37,,1.41,9,7,SHOV,MALL,
,LLANO SECO (UBB),11/26,49,178,182,3.63,0.06,3.71,50,43,AMWI,GWTL,
,LOS BANOS,11/22,124,181,182,1.46,0.008,1.47,60,37,MALL,GWTL,
,LOS BANOS,11/24,80,10,0,,,,0,0,,,
,LOS BANOS,11/25,139,161,165,1.16,0.01,1.19,53,40,GWTL,SHOV,
,LOS BANOS,11/26,78,80,85,1.03,0.04,1.09,30,18,MALL,GWTL,
,MENDOTA,11/22,193,328,334,1.70,0.02,1.73,60,54,RNDU,SHOV,
,MENDOTA,11/24,58,0,0,,,,0,0,,,
,MENDOTA,11/25,255,330,340,1.29,0.01,1.33,90,81,GWTL,SHOV,
,MENDOTA,11/26,152,65,67,0.43,0.01,0.44,14,14,MALL,GWTL,
,MERCED,11/22,28,82,83,2.93,0.04,2.96,60,7,MALL,GADW,
,MERCED,11/25,30,89,95,2.97,0.20,3.17,53,14,MALL,SHOV,
,NORTH FRIETAS,11/22,5,12,12,2.40,,2.40,5,3,GWTL,MALL,
,NORTH FRIETAS,11/25,9,4,4,0.44,,0.44,4,0,MALL,,
,NORTH FRIETAS,11/26,18,0,0,1.22,0.11,1.33,0,0,MALL,GWTL,
,SOUTH FRIETAS,11/22,15,11,12,0.17,,0.17,6,4,MALL,SHOV,
,SOUTH FRIETAS,11/25,229,3,3,0.20,,0.20,1,1,MALL,,
,SOUTH FRIETAS,11/26,15,3,4,0.17,0.11,0.27,1,1,CINT,SHOV,
,SALT SLOUGH (NO.GL),11/22,33,78,78,2.36,,2.36,42,9,MALL,GWTL,
,SALT SLOUGH (NO.GL),11/24,12,0,0,,,,0,0,PNTL,,
,SALT SLOUGH (NO.GL),11/25,37,77,77,2.08,,2.08,36,16,MALL,,
,SALT SLOUGH (NO.GL),11/26,34,51,51,1.50,,1.50,25,13,MALL,SHOV,
,SALTON SEA NWR,11/22,9,3,19,0.33,1.78,2.11,3,0,CINT,,
,SALTON SEA NWR,11/25,21,2,9,0.10,0.29,0.43,2,0,GWTL,,
,SALTON SEA NWR,11/26,13,0,10,0.77,0.77,0.77,0,0,,,
,SACRAMENTO,11/22,189,402,439,2.13,0.16,2.32,95,89,MALL,SHOV,
,SACRAMENTO,11/25,204,463,488,2.27,0.12,2.39,132,79,SHOV,GADW,
,SACRAMENTO,11/26,181,388,408,2.14,0.11,2.25,79,71,MALL,AMWI,
,SAN LUIS,11/22,50,126,126,2.52,,2.52,37,24,GWTL,RNDU,
,SAN LUIS,11/25,43,74,82,1.72,,1.91,31,17,SHOV,MALL,
,SAN LUIS,11/26,60,53,56,0.88,,0.93,20,15,GWTL,SHOV,
,SHASTA VALLEY,11/22,27,81,86,3.00,0.19,3.19,25,16,MALL,RNDU,
,SHASTA VALLEY,11/25,25,31,31,1.24,,1.24,8,7,GWTL,AMWI,
,SHASTA VALLEY,11/26,48,24,24,0.50,,0.50,8,5,MALL,PNTL,
,VOLTA,11/22,20,16,58,0.80,,2.90,7,5,SHOV,MALL,
,VOLTA,11/25,39,41,66,1.05,,1.69,10,8,MALL,SHOV,
,VOLTA,11/26,16,2,19,0.13,,1.19,2,0,MALL,,
,WILLOW CREEK,11/22,0,0,0,,,,10,0,,,
,WILLOW CREEK,11/25,1,0,0,,,,0,0,,,
,WILLOW CREEK,11/26,0,0,0,,,,0,0,,,
,WISTER,11/22,132,182,203,1.38,0.16,1.54,46,40,GWTL,AMWI,
,WISTER,11/25,236,224,246,0.95,0.08,1.04,61,45,GWTL,PNTL,
,WISTER,11/26,79,45,66,0.57,0.27,0.84,13,11,GADW,AMWI,
,YOLO,11/22,106,79,89,0.75,,0.84,24,16,MALL,PNTL,
,YOLO,11/25,135,128,146,0.95,0.06,1.08,35,26,SHOV,RUDD,
,YOLO,11/26,106,80,108,0.75,0.03,1.02,24,13,SHOV,RUDD,
,WEST BEAR CREEK,11/22,27,79,85,2.93,0.11,3.15,51,8,MALL,GADW,
,WEST BEAR CREEK,11/25,37,60,61,1.62,0.03,1.65,39,9,MALL,WDDU,
,WEST BEAR CREEK,11/26,28,22,22,0.79,,0.79,18,3,MALL,WDDU,
,ASH CREEK,11/29,9,13,21,1.44,0.89,2.33,8,2,MALL,AMWI,
,ASH CREEK,12/2,11,22,27,2.00,0.45,2.45,12,4,MALL,GADW,
,ASH CREEK,12/3,7,1,1,0.14,,0.14,1,0,PNTL,,
,BUTTE VALLEY,11/29,6,14,14,2.33,,2.33,7,5,MALL,AMWI,
,BUTTE VALLEY,12/2,5,1,1,0.20,,0.20,1,0,GWTL,SHOV,
,BUTTE VALLEY,12/3,6,6,6,1.00,,1.00,2,2,MALL,,
,FINNEY-RAMER,12/1,5,7,7,1.40,,1.40,5,1,GWTL,CINT,
,FINNEY-RAMER,12/2,9,11,11,1.22,,1.22,8,2,GWTL,SHOV,
,FINNEY-RAMER,12/3,3,7,7,2.33,,2.33,5,2,GWTL,SHOV,
,COLUSA,11/29,59,188,210,3.19,0.37,3.56,74,30,MALL,GADW,
,COLUSA,12/2,89,322,330,3.62,0.09,3.71,61,58,MALL,SHOV,
,COLUSA,12/3,74,95,99,1.28,0.05,1.34,23,23,MALL,GWTL,
,GADWALL (NO.GL),11/29,26,54,54,2.08,,2.08,18,18,GWTL,SHOV,
,GADWALL (NO.GL),12/2,30,99,99,3.30,,3.30,51,22,GWTL,SHOV,
,GADWALL (NO.GL),12/3,35,43,49,1.23,0.17,1.40,15,10,GWTL,SHOV,
,GRAY LODGE,11/29,130,281,304,2.16,0.15,2.34,99,48,MALL,SHOV,
,GRAY LODGE,12/2,208,398,427,1.91,0.13,2.05,107,99,SHOV,MALL,
,GRAY LODGE,12/3,145,130,141,0.90,0.06,0.97,27,21,MALL,SHOV,
,GRIZZLY ISLAND,11/29,102,124,124,1.22,,1.22,55,19,SHOV,MALL,
,GRIZZLY ISLAND,12/2,146,249,256,1.71,0.01,1.75,80,49,GWTL,SHOV,
,GRIZZLY ISLAND,12/3,97,85,85,0.88,,0.88,25,19,MALL,GWTL,
,JOICE ISLAND,12/3,4,19,19,4.75,,4.75,19,0,MALL,,
,HONEY LAKE-DAKIN,11/29,28,52,70,1.86,0.64,2.50,21,13,MALL,GWTL,
,HONEY LAKE-DAKIN,12/2,28,48,57,1.71,0.32,2.04,23,6,MALL,AMWI,
,HONEY LAKE-DAKIN,12/3,17,12,12,0.71,,0.71,8,2,SHOV,GWTL,
,HONEY LAKE-FLEMING,11/29,27,24,25,0.89,0.04,0.93,14,3,MALL,AMWI,
,HONEY LAKE-FLEMING,12/2,47,60,69,1.28,0.19,1.47,34,15,MALL,AMWI,
,HONEY LAKE-FLEMING,12/3,43,9,14,0.21,0.12,0.33,3,3,MALL,SHOV,
,HOWARD SLOUGH (UBB),11/29,39,85,105,2.18,0.51,2.69,39,11,MALL,AMWI,
,HOWARD SLOUGH (UBB),12/2,69,128,129,1.86,0.01,1.87,69,22,MALL,AMWI,
,HOWARD SLOUGH (UBB),12/3,30,33,33,1.10,,1.10,6,6,MALL,AMWI,
,KESTERSON,11/29,46,91,96,1.98,0.11,2.09,37,17,SHOV,MALL,
,KESTERSON,12/2,47,94,94,2.00,,2.00,59,16,GWTL,SHOV,
,KESTERSON,12/3,49,58,61,1.18,0.04,1.24,44,5,GWTL,GADW,
,LITTLE DRY CR. (UBB),11/29,81,292,322,3.60,0.37,3.98,133,61,MALL,AMWI,
,LITTLE DRY CR. (UBB),12/2,98,360,372,3.67,0.12,3.80,159,52,MALL,AMWI,
,LITTLE DRY CR. (UBB),12/3,90,203,215,2.26,0.13,2.39,70,37,MALL,GWTL,
,LLANO SECO (UBB),11/29,34,119,120,3.50,0.03,3.53,34,29,AMWI,MALL,
,LLANO SECO (UBB),12/2,37,138,138,3.73,,3.73,46,27,MALL,GADW,
,LLANO SECO (UBB),12/3,32,74,75,2.31,,2.34,17,16,MALL,SHOV,
,LOS BANOS,11/29,61,154,157,2.52,0.05,2.57,68,23,MALL,SHOV,
,LOS BANOS,12/2,131,175,178,1.34,0.02,1.36,79,34,GWTL,MALL,
,LOS BANOS,12/3,82,91,104,1.11,0.16,1.27,48,12,GWTL,MALL,
,MENDOTA,11/29,110,278,290,2.53,0.11,2.64,105,49,GWTL,MALL,
,MENDOTA,12/2,307,639,644,2.08,0.010,2.10,337,71,GWTL,MALL,
,MENDOTA,12/3,177,137,141,0.77,0.006,0.80,34,26,MALL,GWTL,
,MERCED,11/29,29,90,96,3.10,0.21,3.31,55,11,MALL,GADW,
,MERCED,12/2,34,89,91,2.62,0.06,2.68,42,15,MALL,GWTL,
,NORTH FRIETAS,11/29,6,11,11,1.83,,1.83,8,3,MALL,GWTL,
,NORTH FRIETAS,12/2,20,84,84,4.20,,4.20,47,29,GWTL,MALL,
,NORTH FRIETAS,12/3,12,20,20,1.67,,1.67,12,6,GWTL,MALL,
,SOUTH FRIETAS,11/29,7,11,14,1.57,0.43,2.00,7,3,MALL,AMWI,
,SOUTH FRIETAS,12/2,14,29,29,2.07,,2.07,17,9,MALL,GWTL,
,SOUTH FRIETAS,12/3,14,10,10,0.71,,0.71,5,4,GWTL,CINT,
,SALT SLOUGH (NO.GL),11/29,22,60,60,2.73,,2.73,32,15,MALL,SHOV,
,SALT SLOUGH (NO.GL),12/2,53,56,56,1.06,,1.06,20,16,GWTL,MALL,
,SALT SLOUGH (NO.GL),12/3,29,24,24,0.83,,0.83,16,2,GWTL,MALL,
,SALTON SEA NWR,11/29,8,9,12,1.13,0.38,1.50,6,1,SHOV,GADW,
,SALTON SEA NWR,12/2,16,50,75,3.13,1.56,4.69,16,14,CINT,GWTL,
,SALTON SEA NWR,12/3,17,5,37,0.29,1.88,2.18,3,2,SHOV,PNTL,
,SAN JACINTO,11/29,88,225,229,2.56,0.03,2.60,61,60,SHOV,GWTL,
,SAN JACINTO,12/2,99,385,399,3.89,0.11,4.03,143,113,GWTL,SHOV,
,SAN LUIS,11/29,48,74,76,1.54,0.04,1.58,26,17,SHOV,MALL,
,SAN LUIS,12/2,99,295,297,2.98,0.02,3.00,195,34,GWTL,MALL,
,SAN LUIS,12/3,59,106,107,1.80,,1.81,80,9,GWTL,SHOV,
,SHASTA VALLEY,11/29,25,26,26,1.04,,1.04,11,6,GWTL,MALL,
,SHASTA VALLEY,12/2,23,56,56,2.43,,2.43,18,17,RNDU,MALL,
,SHASTA VALLEY,12/3,35,18,18,0.51,,0.51,10,3,MALL,RNDU,
,VOLTA,11/29,11,12,37,1.09,,3.36,10,2,MALL,SHOV,
,VOLTA,12/2,46,77,103,1.67,,2.24,25,25,MALL,GWTL,
,VOLTA,12/3,20,16,42,0.80,0.05,2.10,5,4,MALL,GWTL,
,WILLOW CREEK,11/29,5,11,13,2.20,0.40,2.60,5,5,MALL,AMWI,
,WILLOW CREEK,12/2,4,6,6,1.50,,1.50,3,2,AMWI,GWTL,
,WILLOW CREEK,12/3,3,0,1,,0.33,0.33,0,0,,,
,WISTER,11/29,111,479,522,4.32,0.39,4.70,176,84,AMWI,GADW,
,WISTER,12/2,183,734,895,4.01,0.70,4.89,224,181,GWTL,AMWI,
,WISTER,12/3,105,187,235,1.78,0.46,2.24,53,52,AMWI,SHOV,
,YOLO,11/29,78,150,172,1.92,0.14,2.21,40,33,SHOV,PNTL,
,YOLO,12/2,102,172,172,1.69,,1.69,40,29,SHOV,GWTL,
,YOLO,12/3,90,135,150,1.50,0.10,1.67,28,25,RUDD,SHOV,
,WEST BEAR CREEK,11/29,19,49,49,2.58,,2.58,28,8,MALL,WDDU,
,WEST BEAR CREEK,12/2,38,105,106,2.76,0.03,2.79,48,32,GWTL,MALL,
,WEST BEAR CREEK,12/3,22,31,31,1.41,,1.41,19,8,GWTL,MALL,
,CHINA ISLAND (NO.GL),12/6,12,24,24,2.00,,2.00,11,8,GWTL,MALL,
,CHINA ISLAND (NO.GL),12/9,47,66,68,1.40,0.04,1.45,29,14,GWTL,MALL,
,CHINA ISLAND (NO.GL),12/10,28,16,16,0.57,,0.57,6,4,GWTL,CINT,
,ASH CREEK,12/6,9,12,12,1.33,,1.33,4,2,GWTL,AMWI,
,ASH CREEK,12/9,9,10,10,1.11,,1.11,6,2,MALL,AMWI,
,ASH CREEK,12/10,8,7,7,0.88,,0.88,4,3,MALL,AMWI,
,BUTTE VALLEY,12/6,3,0,0,,,,0,0,,,
,BUTTE VALLEY,12/9,13,10,11,0.77,,0.85,6,4,GWTL,MALL,
,BUTTE VALLEY,12/10,,18,18,2.00,,2.00,6,5,GWTL,MALL,
,FINNEY-RAMER,12/6,1,0,0,,,,0,0,,,
,FINNEY-RAMER,12/8,2,10,10,5.00,,5.00,4,3,GWTL,CINT,
,FINNEY-RAMER,12/9,3,11,11,3.67,,3.67,5,4,GWTL,SHOV,
,FINNEY-RAMER,12/10,1,0,10,,,,0,0,,,
,COLUSA,12/6,71,173,174,2.44,0.01,2.45,49,44,MALL,GADW,
,COLUSA,12/9,135,204,207,1.51,0.02,1.53,56,55,MALL,GADW,
,COLUSA,12/10,62,114,117,1.84,0.05,1.89,34,19,MALL,SHOV,
,GADWALL (NO.GL),12/6,16,35,35,2.19,,2.19,22,8,GWTL,SHOV,
,GADWALL (NO.GL),12/9,31,116,119,3.74,0.10,3.84,52,33,GWTL,SHOV,
,GADWALL (NO.GL),12/10,28,29,29,1.04,,1.04,19,3,GWTL,SHOV,
,GRAY LODGE,12/6,116,252,262,2.17,0.03,2.26,63,45,MALL,SHOV,
,GRAY LODGE,12/9,360,323,333,0.90,0.01,0.93,118,60,MALL,SHOV,
,GRAY LODGE,12/10,175,171,191,0.98,0.04,1.09,53,34,SHOV,MALL,
